PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,0,3,male,22,1,0,7.25,S
2,1,1,female,38,1,0,71.2833,C
3,1,3,female,26,0,0,7.925,S
4,1,1,female,35,1,0,53.1,S
5,0,3,male,35,0,0,8.05,S
6,0,3,male,28,0,0,8.4583,Q
7,0,1,male,54,0,0,51.8625,S
8,0,3,male,2,3,1,21.075,S
9,1,3,female,27,0,2,11.1333,S
10,1,2,female,14,1,0,30.0708,C
11,1,3,female,4,1,1,16.7,S
12,0,1,male,58,0,0,26.55,S
13,0,3,male,20,0,0,8.05,S
14,0,3,male,39,1,5,31.275,S
15,1,3,female,14,0,0,7.8542,S
16,1,2,female,55,0,0,16,S
17,0,3,male,2,4,1,29.125,Q
18,1,2,male,31,0,0,13,S
19,0,3,female,18,1,0,18,S
20,1,1,female,40,0,0,80,C
21,1,3,female,27,0,2,11.1333,S
22,1,2,female,14,1,0,30.0708,C
23,1,3,female,4,1,1,16.7,S
24,0,1,male,58,0,0,26.55,S
25,0,3,male,20,0,0,8.05,S
26,0,3,male,39,1,5,31.275,S
27,1,3,female,14,0,0,7.8542,S
28,1,2,female,55,0,0,16,S
29,0,3,male,2,4,1,29.125,Q
30,1,2,male,31,0,0,13,S
31,0,3,female,18,1,0,18,S
32,1,1,female,40,0,0,80,C
33,0,3,male,22,1,0,7.25,S
34,1,1,female,38,1,0,71.2833,C
35,1,3,female,26,0,0,7.925,S
36,1,1,female,35,1,0,53.1,S
37,0,3,male,35,0,0,8.05,S
38,0,3,male,28,0,0,8.4583,Q
39,0,1,male,54,0,0,51.8625,S
40,0,3,male,2,3,1,21.075,S
41,1,3,female,27,0,2,11.1333,S
42,1,2,female,14,1,0,30.0708,C
43,1,3,female,4,1,1,16.7,S
44,0,1,male,58,0,0,26.55,S
45,0,3,male,20,0,0,8.05,S
